11/9/2018,Hm Mechanical Co Des:payroll, Id:710, Indn:mcrobbie, Stuart I., CO Id:1760,Paycheck,$895.85
11/8/2018,Corner Store 1417, Pasadena, TX,Extra,-$2.14
11/7/2018,1122 Vanguard Totl Stck Mkt Index Fd Adm,Match,$52.00
11/7/2018,1122 Vanguard Totl Stck Mkt Index Fd Adm,401k,$130.00
11/7/2018,25 Piada Houston Memor, Houston, TX,Restaurants,-$8.65
11/7/2018,H-e-b Gas #473, Pasadena, TX,Gas,-$26.48
11/7/2018,Sprouts Farmers Mark, Houston, TX,Groceries,-$32.23
11/6/2018,Checkcard, 1104 True Food Kitchen #1024, the Woodlandstx x0674,Restaurants,-$24.86
11/6/2018,Chipotle 3085, Deer Park, TX,Restaurants,-$7.42
11/6/2018,Microsoft*xbox Live Go, Redmond, WA,Subscriptions,-$10.65
11/5/2018,25 Piada Houston Memor, Houston, TX,Restaurants,-$8.65
11/5/2018,Cabo Baja Tacos & Burr, Houston, TX,Restaurants,-$4.78
11/5/2018,Checkcard, 1103 Wal Wal-mart S, Houston, TX,Groceries,-$3.55
11/5/2018,Costco Whse #1, 11/04 #x4665 Purchase, Costco Whse #1189, Conroe, TX,Extra,-$99.83
11/5/2018,Wholefds Wdl #x0574, the Woodlandstx,Extra,-$10.83
11/3/2018,Nobi Public House, Webster, TX,Restaurants,-$9.08
11/3/2018,Spicy Chen Asian Bistr, Pasadena, TX,Restaurants,-$9.12
11/2/2018,Chevron,Transfer,$100.00
11/2/2018,Hm Mechanical Co Des:payroll, Id:710, Indn:mcrobbie, Stuart I., CO Id:1760,Paycheck,$895.85
11/2/2018,Kirby Ice House - Hous, Houston, TX,Nightlife,-$14.18
11/2/2018,Lyft, *ride Thu 5pm, x-x-9553 CA,Nightlife,-$6.76
11/1/2018,25 Piada Houston Memorial,Restaurants,-$8.65
11/1/2018,Chevron,Transfer,-$100.00
11/1/2018,Corner Store,Gas,-$27.21
11/1/2018,Purchase Adjustment,Transfer,$150.00
11/1/2018,Purchase Adjustment,Transfer,$150.00
11/1/2018,Sunrise by the P Des:web Pmts, Id:2hpq71, Indn:stuart Mcrobbie, CO Id:9084,Rent,-$954.98
10/31/2018,Chicagonewsst1725,Extra,-$4.69
10/31/2018,Hou Parking Ecopark,Extra,-$30.00
10/31/2018,Kroger,Transfer,-$150.00
10/31/2018,Kroger,Transfer,-$150.00
10/31/2018,Northface Vf Outdoor,Clothes,-$487.13
10/31/2018,Vanguard Federal Money Market Fund (settlement Fund)-dividend,Transfer,$0.54
10/31/2018,Vanguard Federal Money Market Fund (settlement Fund)-dividend,Transfer,$0.56
10/31/2018,Vanguard Federal Money Market Fund (settlement Fund)-reinvestment,Transfer,-$0.56
10/31/2018,Vanguard Federal Money Market Fund (settlement Fund)-reinvestment,Transfer,-$0.54
10/31/2018,Zelle Transfer Conf# 2639a198f;, Prestwood, Jacoby,Utilities,$12.00
10/30/2018,1122 Vanguard Totl Stck Mkt Index Fd Adm,Match,$52.00
10/30/2018,1122 Vanguard Totl Stck Mkt Index Fd Adm,401k,$130.00
10/30/2018,Chipotle,Restaurants,-$7.42
10/30/2018,Colectivo Coffee Roasters,Restaurants,-$21.51
10/29/2018,Burwood Tap,Nightlife,-$21.00
10/29/2018,Cafe Vienna,Restaurants,-$27.94
